бНЯЯРЮМНБХРЭ ОПНОСЫЕММШЕ ГМЮВЕМХЪ;;;;
мюгбюмхе;1_пеия;2_пеия;3_пеия;4_пеия 
28-29-ъ кхмхх;10:14:10;10:29:00;10:44:00;10:59:00
22-23-ъ кхмхх;10:15:40;10:29:50;10:45:10;
лсгеи цнпндяйнцн рпюмяонпрю;10:17:20;10:32:10;10:47:40;
12-13-ъ кхмхх;10:19:00;10:34:10;10:49:30;
"лерпн ""бюяхкенярпнбяйюъ""";10:21:30;10:36:40;10:51:30;
1-ъ х йюдеряйюъ кхмхх;10:22:50;10:38:20;10:53:00;
"1-ъ х йюдеряйюъ кхмхх. лерпн ""яонпрхбмюъ""";10:24:00;10:39:20;10:54:20;11:09:10
"лерпн ""яонпрхбмюъ""";10:25:40;10:40:40;10:55:50;11:10:40
йпнмбепйяйхи опняоейр;10:27:30;10:42:20;10:57:20;11:12:20
гбепхмяйюъ ск.;10:29:10;10:44:10;10:59:20;11:14:10
ббедемяйюъ ск.;10:31:00;10:46:00;11:01:10;11:16:00
яшрмши пшмнй;10:32:20;10:47:30;11:02:50;11:17:30
"лерпн ""цнпэйнбяйюъ""";10:33:30;10:49:00;11:04:10;11:18:50
рпнхжйюъ ок. о.я.;10:35:10;10:50:20;11:05:40;11:20:20
скхжю вюоюебю;10:36:20;10:51:20;11:06:30;11:21:20
